Oid	WoodAttributeCategory	Name	Abbreviation	SortOrder	OptimisticLockField	GCRecord
{2C91CB9F-D39C-4769-B07F-7C8204FA1E3A}	{3A6C5437-EF23-4BFB-B258-DC9C3B4FD874}	broken rot		45	4	
{3E76C0EA-D55A-4477-BBEA-84CD288F5B8D}	{06C8D1DA-AE5F-403D-8B77-591C328E4063}	insect galleries		28	4	
{209F6645-66E5-4922-9F42-8DD0E8B01198}	{3A6C5437-EF23-4BFB-B258-DC9C3B4FD874}	uprooted		43	4	
{F0CE24C8-85CC-4566-972B-8E8431FB5D0E}	{05B8E79C-B46E-4D33-BCE6-A21AE9B74BC2}	standing dead		50	4	
{52BC52E2-38E2-4AA7-AC5D-91FA5878B933}	{B24571D7-4CE4-472A-9403-38AD03C28338}	coniferous		2	4	
{EB6359E9-E9BA-40E3-A870-920FFA2ADB81}	{747AC562-46DC-4EE3-9324-1F7920D872A3}	> 80 cm		19	4	
{35E8D325-4340-4BE3-A956-9DF21A9CBBEF}	{3A6C5437-EF23-4BFB-B258-DC9C3B4FD874}	died standing		40	4	
{3253E675-92B4-4FFF-B4BF-A0FB9E883AA9}	{B7C562ED-F810-4AE7-987E-EB68CE312DFC}	semi-shady		58	4	
{66C1CE9E-9DF3-49B4-AEE0-AA3E25824F8D}	{06C8D1DA-AE5F-403D-8B77-591C328E4063}	fruit body		33	4	
{11C8787F-AAFD-42F3-9B0A-AC7B4E5CC97C}	{05B8E79C-B46E-4D33-BCE6-A21AE9B74BC2}	bolt		53	4	
{07D540FD-7F58-4626-9A82-B4D2FBFBA4F3}	{06C8D1DA-AE5F-403D-8B77-591C328E4063}	tree cavity		31	4	
{4A24ECD7-48C0-4504-B783-B652BC6E3083}	{06C8D1DA-AE5F-403D-8B77-591C328E4063}	wood interior		25	4	
{CBD4A165-8C86-4426-B600-B68FAFAD81F2}	{747AC562-46DC-4EE3-9324-1F7920D872A3}	40-80 cm		18	4	
{2096EEAB-BB24-4A41-8D3A-B9BE72B85C40}	{7B25453D-E8E3-4E89-81FB-17F838E8A518}	decay 4		9	4	
{ADF0792A-7D34-4B2E-8CC9-BA6CA2C716D7}	{06C8D1DA-AE5F-403D-8B77-591C328E4063}	bark interior		21	4	
{FC9994AE-6496-47AE-B364-C07647547BF5}	{B7C562ED-F810-4AE7-987E-EB68CE312DFC}	marine water		64	4	
{2A9396C7-B911-4440-9D3D-C1AC1782886A}	{7B25453D-E8E3-4E89-81FB-17F838E8A518}	decay 1		6	4	
{781ACE66-5648-4E4C-A506-C25C910EA3F6}	{747AC562-46DC-4EE3-9324-1F7920D872A3}	5-10 cm		15	4	
{5B15FB21-7309-4079-BE59-C3E1130B01B0}	{3A6C5437-EF23-4BFB-B258-DC9C3B4FD874}	cut by man		47	4	
{AF94AA70-1EBE-4741-BD0C-D219062ABC9E}	{7B25453D-E8E3-4E89-81FB-17F838E8A518}	brown rot		11	4	
{F094E9C9-119D-47E2-9D5B-D25AFBBF59F1}	{7B25453D-E8E3-4E89-81FB-17F838E8A518}	decay 00		4	4	
{371308AC-4714-47AB-A8D7-D8CC78C47178}	{06C8D1DA-AE5F-403D-8B77-591C328E4063}	sap run		29	4	
{C709F53C-C5F0-4DB9-B05D-DC005F3943F7}	{747AC562-46DC-4EE3-9324-1F7920D872A3}	10-20 cm		16	4	
{0A038F76-BBD1-45D9-8BF2-DCFB685A4978}	{7B25453D-E8E3-4E89-81FB-17F838E8A518}	decay 5		10	4	
{AD55D998-63C0-427C-AA94-E5D4BA030F73}	{06C8D1DA-AE5F-403D-8B77-591C328E4063}	cambium zone		22	4	
{7F78794F-C252-47FF-963A-E72C8D4529BD}	{36A6F0E1-D1CF-4B3D-8F8E-907C7375FF95}	attached branch		35	4	
{2E71EFEC-C7BE-4FA3-A1E1-E92D6C7C2866}	{B7C562ED-F810-4AE7-987E-EB68CE312DFC}	sunny		57	4	
{401C3CBF-040D-4A42-AE17-F105768DCD18}	{3A6C5437-EF23-4BFB-B258-DC9C3B4FD874}	broken mechanically		44	4	
{E3C52D31-49F0-42BF-AB6C-F1705ED6A9DC}	{3A6C5437-EF23-4BFB-B258-DC9C3B4FD874}	fire		46	4	
{AEB56259-028D-4EAE-B892-F3496B366CAF}	{05B8E79C-B46E-4D33-BCE6-A21AE9B74BC2}	live tree		48	4	
{DFBA048A-61F3-4DE3-BE06-F4BFC12ADB76}	{05B8E79C-B46E-4D33-BCE6-A21AE9B74BC2}	stump		52	4	
{7D226B84-D9E4-4663-B426-F84E400E287A}	{06C8D1DA-AE5F-403D-8B77-591C328E4063}	wood surface		24	4	
{1962BEF7-E92F-40DB-A867-FD1FA2326036}	{747AC562-46DC-4EE3-9324-1F7920D872A3}	1-5 cm		14	4	
